Date,DHT Allocation,MPL Allocation,MPL Invested,MPL BTC Invested,MPL ETH Invested,DHT Invested,DHT BTC Invested,DHT ETH Invested
2022-01-11,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-12,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-13,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-14,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-15,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-16,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-17,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-18,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-19,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-20,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-21,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-22,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-23,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-24,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-25,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-26,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-27,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-28,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-29,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-30,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-31,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-02-01,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-02-02,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-02-03,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-02-04,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-02-05,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-02-06,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-02-07,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-02-08,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-02-09,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-02-10,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-02-11,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-02-12,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-02-13,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-02-14,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-02-15,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-02-16,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-02-17,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-02-18,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-02-19,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-02-20,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-02-21,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-02-22,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-02-23,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-02-24,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-02-25,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-02-26,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-02-27,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-02-28,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-03-01,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-03-02,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-03-03,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-03-04,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
