"Date","Price (Open)"
"2020-08-01","11347.994513073309"
"2020-07-31","11114.505803019614"
"2020-07-30","11110.086299260243"
"2020-07-29","10933.990686068848"
"2020-07-28","11206.770566317176"
"2020-07-27","9942.573941141594"
"2020-07-26","9712.61415529049"
"2020-07-25","9553.999423309177"
"2020-07-24","9613.626698046937"
"2020-07-23","9537.191495089386"
"2020-07-22","9390.875416532428"
"2020-07-21","9160.954288571782"
"2020-07-20","9211.942152398384"
"2020-07-19","9172.469563831168"
"2020-07-18","9153.114307725606"
"2020-07-17","9130.937505716069"
"2020-07-16","9191.039590722003"
"2020-07-15","9252.510330570307"
"2020-07-14","9237.064235984484"
"2020-07-13","9305.952488766176"
"2020-07-12","9233.698300458425"
"2020-07-11","9285.990965174386"
"2020-07-10","9231.053155232894"
"2020-07-09","9441.423448363494"
"2020-07-08","9257.016056079256"
"2020-07-07","9344.465943396412"
"2020-07-06","9087.600381935248"
"2020-07-05","9132.055440000466"
"2020-07-04","9069.547040709625"
"2020-07-03","9087.065156867762"
"2020-07-02","9236.002399798956"
"2020-07-01","9137.306838262279"
"2020-06-30","9180.924147883961"
"2020-06-29","9115.463896223395"
"2020-06-28","9006.085929434596"
"2020-06-27","9154.623831515095"
"2020-06-26","9237.985016236731"
"2020-06-25","9294.061353164758"
"2020-06-24","9622.73967280252"
"2020-06-23","9689.406454038255"
"2020-06-22","9287.548265390269"
"2020-06-21","9350.523655986999"
"2020-06-20","9298.090725612346"
"2020-06-19","9379.221481097575"
"2020-06-18","9454.210152527483"
"2020-06-17","9523.82604266282"
"2020-06-16","9426.347472462683"
"2020-06-15","9331.083793451426"
"2020-06-14","9465.792429632547"
"2020-06-13","9461.98750496685"
"2020-06-12","9278.109854809793"
"2020-06-11","9887.732467154958"
"2020-06-10","9774.546728218207"
"2020-06-09","9784.340853766884"
"2020-06-08","9752.513374192038"
"2020-06-07","9669.596722397908"
"2020-06-06","9620.67138735547"
"2020-06-05","9790.242750713502"
"2020-06-04","9656.485925324041"
"2020-06-03","9528.264496830116"
"2020-06-02","10207.170730409243"
"2020-06-01","9446.359337041524"
"2020-05-31","9695.090615832669"
"2020-05-30","9420.06096224402"
"2020-05-29","9524.120774819294"
"2020-05-28","9194.33725246884"
"2020-05-27","8834.522697815473"
"2020-05-26","8884.542786306549"
"2020-05-25","8728.91522657354"
"2020-05-24","9176.473473147245"
"2020-05-23","9163.238253031941"
"2020-05-22","9033.14570888861"
"2020-05-21","9503.724082074663"
"2020-05-20","9783.722836460185"
"2020-05-19","9745.36853100582"
"2020-05-18","9675.507957127096"
"2020-05-17","9383.226479002547"
"2020-05-16","9307.755945752206"
"2020-05-15","9791.011936094577"
"2020-05-14","9304.692572700293"
"2020-05-13","8816.713260103259"
"2020-05-12","8605.71877765472"
"2020-05-11","8743.056238892286"
"2020-05-10","9539.120452091882"
"2020-05-09","9815.99427396507"
"2020-05-08","9992.357249216759"
"2020-05-07","9165.619924854052"
"2020-05-06","9039.680643505757"
"2020-05-05","8887.893570881743"
"2020-05-04","8908.96207598178"
"2020-05-03","8978.86793008822"
"2020-05-02","8823.332178776898"
"2020-05-01","8640.755220561601"
"2020-04-30","8773.56580978345"
"2020-04-29","7758.072241272592"
"2020-04-28","7786.428805356595"
"2020-04-27","7698.602291527715"
"2020-04-26","7544.894571138151"
"2020-04-25","7507.270033768253"
"2020-04-24","7482.186371063511"
"2020-04-23","7130.461727852263"
"2020-04-22","6848.276999624789"
"2020-04-21","6835.08168970063"
"2020-04-20","7129.593579129385"
"2020-04-19","7258.635183798419"
"2020-04-18","7035.626010795186"
"2020-04-17","7113.5255731188245"
"2020-04-16","6624.368291366871"
"2020-04-15","6870.480991278446"
"2020-04-14","6857.032380289752"
"2020-04-13","6912.108814685735"
"2020-04-12","6889.693865671548"
"2020-04-11","6875.105869056529"
"2020-04-10","7291.062175598811"
"2020-04-09","7370.489686413319"
"2020-04-08","7200.61240677761"
"2020-04-07","7339.950283022631"
